52.95209,-2.506, Adderley - St Peter
52.95737,-2.62857, Ash - Christ Church
52.93115,-2.59158, Calverhall - Holy Trinity
52.86604,-2.41875, Cheswardine - St Swithin
52.82214,-2.49756, Child's Ercall - St Michael
52.8832,-2.71786, Edstaston - St Mary
52.89001,-2.61086, Fauls - Holy Immanuel
52.85356,-2.57653, Hodnet - St Luke
52.94382,-2.60801, Ightfield - St John the Baptist
52.89876,-2.50166, Little Drayton - Christ Church
52.90304,-2.48282, Market Drayton - St Mary
52.9064,-2.55116, Moreton Say - St Margaret
52.87957,-2.77671, Newtown - King Charles the Martyr
52.94465,-2.4424, Norton-in-Hales - St Chad
52.81911,-2.54031, Peplow - Chapel of the Epiphany
52.89692,-2.66012, Prees - St Chad
52.84794,-2.53821, Stoke on Tern - St Peter
52.93617,-2.68205, Tilstock - Christ Church
52.85505,-2.72573, Wem - St Peter and St Paul
52.85483,-2.64746, Weston-under-Redcastle - St Luke
52.97069,-2.68479, Whitchurch - St Alkmund
52.9087,-2.71854, Whixall - St Mary
52.97802,-2.4025, Woore - St Leonard
52.85756,-2.84073, Cockshutt - St Simon and St Jude
52.92397,-2.94637, Criftins (Dudleston Heath) - St Matthew
52.93907,-2.97428, Dudleston - St Mary
52.90745,-2.88943, Ellesmere - St Mary
52.8985,-3.04008, Gobowen - All Saints
52.87505,-2.98375, Halston Chapel
52.83675,-2.93311, Haughton - St Chad
52.87132,-2.92072, Hordley - St Mary
52.78198,-2.98254, Kinnerley - St Mary
52.79437,-2.98919, Knockin - St Mary
52.79807,-3.12966, Llanyblodwel - St Michael the Archangel
52.77964,-3.08753, Llanymynech - St Agatha
52.85818,-2.78592, Loppington - St Michael and All Angels
52.89061,-2.83736, Lyneal (Colmere) - St John the Evangelist
52.78419,-3.0367, Maesbrook - St John
52.82363,-3.02553, Maesbury - St John the Baptist
52.74245,-2.99008, Melverley - St Peter
52.81438,-3.05352, Morton - St Philip and St James
52.85709,-3.05787, Oswestry - St Oswald
52.85744,-3.05195, Oswestry - Holy Trinity
52.81699,-2.94575, Pradoe Church
52.91959,-3.00906, St Martin's - St Martin
52.89871,-3.09176, Selattyn - St Mary
52.83452,-3.0978, Trefonen - All Saints
52.90863,-2.84327, Welshampton - St Michael and All Angels
52.89219,-2.94669, Welsh Frankton - St Andrew
52.82051,-2.97902, West Felton - St Michael
52.91346,-3.06628, Westin Rhyn - St John the Divine
